Family,Genus,Species,Infraspecific rank,Infraspecific epithet,Authorship_edit,edited
Leguminosae,Albizia,niopoides,var.,colombiana,(Britton & Killip) Barneby & J.,(Britton & Killip) Barneby & J.
Compositae,Saussurea,nipponica,var.,higomontana,(Honda) H.Koyama,(Honda) H.Koyama
Compositae,Saussurea,nipponica,var.,hokurokuensis,(Kitam.) Ohwi,(Kitam.) Ohwi
Compositae,Saussurea,nipponica,var.,sikokiana,(Makino) Ohwi,(Makino) Ohwi
Compositae,Saussurea,nipponica,var.,yakusimensis,(Masam.) H.Koyama,(Masam.) H.Koyama
Compositae,Saussurea,nipponica,var.,yoshinagae,(Kitam.) H.Koyama,(Kitam.) H.Koyama
Rosaceae,Spiraea,nipponica,var.,tosaensis,(Yatabe) Makino,(Yatabe) Makino
Salicaceae,Salix,nipponica,var.,mengshanensis,(S.B. Liang) G.H. Zhu,(S.B. Liang) G.H. Zhu
Compositae,Cirsium,nipponicum,var.,incomptum,(Maxim.) Kadota,(Maxim.) Kadota
Compositae,Cirsium,nipponicum,var.,shikokianum,(Kitam.) Ohwi,(Kitam.) Ohwi
Compositae,Cirsium,nipponicum,var.,yoshinoi,(Nakai) Kitam. ex Kitam. & Murata,(Nakai) Kitam. ex Kitam. & Murata
Ranunculaceae,Aconitum,nipponicum,var.,septemcarpum,(Nakai) Kadota,(Nakai) Kadota
Ranunculaceae,Dichocarpum,nipponicum,var.,sarmentosum,(Ohwi) Tamura & K.Kosuge,(Ohwi) Tamura & K.Kosuge
Calycanthaceae,Chimonanthus,nitens,var.,salicifolius,(S.Y.Hu) H.D.Zhang,(S.Y.Hu) H.D.Zhang
Cyperaceae,Schoenus,nitens,var.,concinnus,(Hook.f.) Cheeseman,(Hook.f.) Cheeseman
Leguminosae,Crotalaria,nitens,var.,gracilis,Windler,Windler
Symplocaceae,Symplocos,nitens,var.,claussenii,(DC.) Brand,(DC.) Brand
Celastraceae,Salacia,nitida,var.,bipindensis,(Loes. ex Fritsch) N.Hall,(Loes. ex Fritsch) N.Hall
Euphorbiaceae,Hevea,nitida,var.,toxicodendroides,(R.E.Schult. & Vinton) R.E.Schult.,(R.E.Schult. & Vinton) R.E.Schult.
Leguminosae,Millettia,nitida,var.,hirsutissima,Z.Wei,Z.Wei
Phyllanthaceae,Uapaca,nitida,var.,longifolia,(P.A.Duvign.) Radcl.-Sm.,(P.A.Duvign.) Radcl.-Sm.
Polygalaceae,Polygala,nitida,var.,lithophila,(S.F. Blake) T. Wendt,(S.F. Blake) T. Wendt
Rubiaceae,Henriquezia,nitida,var.,longisepala,(Bremek.) G.K.Rogers,(Bremek.) G.K.Rogers
Rubiaceae,Henriquezia,nitida,var.,macrophylla,(Ducke) Steyerm.,(Ducke) Steyerm.
Xanthorrhoeaceae,Gasteria,nitida,var.,armstrongii,(Schnland) van Jaarsv.,(Schnland) van Jaarsv.
Acanthaceae,Odontonema,nitidum,var.,album,(Stehl) V.M. Baum,(Stehl) V.M. Baum
Araceae,Aglaonema,nitidum,var.,helferi,(Hook.f.) Nicolson,(Hook.f.) Nicolson
Rosaceae,Cotoneaster,nitidus,var.,duthieanus,(C.K.Schneid.) T.T.Yu,(C.K.Schneid.) T.T.Yu
Primulaceae,Primula,nivalis,var.,farinosa,Schrenk ex Fisch. & C.A. Mey.,Schrenk ex Fisch. & C.A. Mey.
Saxifragaceae,Saxifraga,nivalis,var.,gaspensis,(Fernald) B. Boivin,(Fernald) B. Boivin
Rosaceae,Potentilla,nivea,var.,elongata,Th.Wolf,Th.Wolf
Trigoniaceae,Trigonia,nivea,var.,fasciculata,(Griseb.) Lleras,(Griseb.) Lleras
Trigoniaceae,Trigonia,nivea,var.,pubescens,(Cambess.) Lleras,(Cambess.) Lleras
Pteridaceae,Argyrochosma,nivea,var.,flava,(Hook.) Ponce,(Hook.) Ponce
Pteridaceae,Argyrochosma,nivea,var.,tenera,(Gillies ex Hook.) Ponce,(Gillies ex Hook.) Ponce
Cyperaceae,Cyperus,niveus,var.,leucocephalus,(Kunth) Fosberg,(Kunth) Fosberg
Cyperaceae,Cyperus,niveus,var.,tisserantii,(Cherm.) Lye,(Cherm.) Lye
Rosaceae,Rubus,niveus,var.,pauciflorus,(Wall.) Focke,(Wall.) Focke
Ericaceae,Cavendishia,nobilis,var.,capitata,(Benth.) Luteyn,(Benth.) Luteyn
Leguminosae,Ormosia,nobilis,var.,santaremnensis,(Ducke) Rudd,(Ducke) Rudd
Ranunculaceae,Hepatica,nobilis,var.,obtusa,(Pursh) Steyerm.,(Pursh) Steyerm.
Caryophyllaceae,Silene,nocturna,var.,brachypetala,(Robill.  & Castagne ex DC.) Benth.,(Robill.  & Castagne ex DC.) Benth.
Leguminosae,Lupinus,nootkatensis,var.,fruticosus,Sims,Sims
Leguminosae,Trifolium,noricum,var.,ottonis,(Boiss.) Zohary,(Boiss.) Zohary
Aspleniaceae,Asplenium,normale,var.,angustum,C. Chr.,C. Chr.
Xanthorrhoeaceae,Haworthia,nortieri,var.,globosiflora,(G.G.Sm.) M.B.Bayer,(G.G.Sm.) M.B.Bayer
Xanthorrhoeaceae,Haworthia,nortieri,var.,pehlemanniae,(C.L.Scott) M.B.Bayer,(C.L.Scott) M.B.Bayer
Rubiaceae,Psychotria,nossibensis,var.,arrhyncha,(Bremek.) A.P.Davis & Govaerts,(Bremek.) A.P.Davis & Govaerts
Nymphaeaceae,Nymphaea,nouchali,var.,caerulea,(Savigny) Verdc.,(Savigny) Verdc.
Nymphaeaceae,Nymphaea,nouchali,var.,versicolor,(Sims) R.Ansari & Jeeja,(Sims) R.Ansari & Jeeja
Compositae,Centaurea,nouelii,var.,duffortii,Rouy & Foucaud,Rouy & Foucaud
Araliaceae,Hydrocotyle,novae-zelandiae,var.,involucrata,(Colenso) Allan,(Colenso) Allan
Araliaceae,Hydrocotyle,novae-zelandiae,var.,robusta,(Kirk) Cheeseman,(Kirk) Cheeseman
Compositae,Symphyotrichum,novi-belgii,var.,crenifolium,(Fernald) Labrecque & Brouillet,(Fernald) Labrecque & Brouillet
Compositae,Symphyotrichum,novi-belgii,var.,elodes,(Torr. & A.Gray) G.L.Nesom,(Torr. & A.Gray) G.L.Nesom
Compositae,Symphyotrichum,novi-belgii,var.,villicaule,(A.Gray) Labrecque & Brouillet,(A.Gray) Labrecque & Brouillet
Erythroxylaceae,Erythroxylum,novogranatense,var.,truxillense,(Rusby) Plowman,(Rusby) Plowman
Marsileaceae,Marsilea,nubica,var.,gymnocarpa,(A. Braun) Launert,(A. Braun) Launert
Cyperaceae,Carex,nubigena,var.,franchetiana,Ohwi,Ohwi
Aquifoliaceae,Ilex,nuculicava,var.,glabra,S.Y. Hu,S.Y. Hu
Leguminosae,Mimosa,nuda,var.,angusta,(Benth.) Barneby,(Benth.) Barneby
Loasaceae,Mentzelia,nuda,var.,stricta,(Osterh.) H.D. Harr.,(Osterh.) H.D. Harr.
Poaceae,Avena,nuda,var.,biaristata,(Alef.) Asch. & Graebn.,(Alef.) Asch. & Graebn.
Compositae,Bigelowia,nudata,var.,australis,(L.C.Anderson) Shinners,(L.C.Anderson) Shinners
Apiaceae,Eryngium,nudicaule,var.,bellidifolium,(Decne.) Urb.,(Decne.) Urb.
Papaveraceae,Papaver,nudicaule,var.,aquilegioides,Fedde,Fedde
Ophioglossaceae,Ophioglossum,nudicaule,var.,robustum,Licht.,Licht.
Bromeliaceae,Aechmea,nudicaulis,var.,aequalis,L.B.Sm. & Reitz,L.B.Sm. & Reitz
Bromeliaceae,Aechmea,nudicaulis,var.,cuspidata,Baker,Baker
Compositae,Dimorphotheca,nudicaulis,var.,graminifolia,Harv.,Harv.
Crassulaceae,Crassula,nudicaulis,var.,herrei,(Friedr.) Toelken,(Friedr.) Toelken
Crassulaceae,Crassula,nudicaulis,var.,platyphylla,(Harv.) Toelken,(Harv.) Toelken
Compositae,Helichrysum,nudifolium,var.,oxyphyllum,(DC.) Beentje,(DC.) Beentje
Compositae,Helichrysum,nudifolium,var.,pilosellum,(L.f.) Beentje,(L.f.) Beentje
Polygonaceae,Eriogonum,nudum,var.,auriculatum,(Benth.) J.P.Tracy ex Jeps.,(Benth.) J.P.Tracy ex Jeps.
Polygonaceae,Eriogonum,nudum,var.,decurrens,(S.Stokes) M.L.Bowerman,(S.Stokes) M.L.Bowerman
Polygonaceae,Eriogonum,nudum,var.,deductum,(Greene) Jeps.,(Greene) Jeps.
